업체(시설)명,지도점검일자,점검사항,지도점검구분,소재지주소
진흥염색,20170525,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 465번지 
월드염색,20170518,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 239-29번지 
(주)두양,20170518,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 240-3번지 
장안기업,20170517,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 1번지 
지엔에스,20170517,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 50번지 
골드존,20170517,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 돈의동 50번지 
동광기업,20170517,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 익선동 166-29번지 
엠.제이주얼리,20170516,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 184번지 
유진염색,20170419,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
인디안염색사,20170419,폐수배출시설 및 방지시설 정상가동 여부,수시,서울특별시 종로구 종로5가 446번지 
성신염색,20170413,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 456-2번지 1층 
아트섬유,20170413,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 459번지 1층 
새하얀,20170412,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 11-14번지 
코디도금,20170412,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 82번지 
삼화도금,20170412,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 100번지 
비가Ⅱ,20170412,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 109번지 성보빌딩 202호 
샤인,20170412,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 163번지 대광빌딩304 
만금사,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 96-2번지 2층 
골드파트너,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 38-9번지 
명성멕기,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 38-19번지 
종로도금,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 154번지 
이화사,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 162번지 태일빌딩 2층 
금성멕기,20170411,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 96-2번지 
반도염색,20170406,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
유진염색,20170404,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
태평양염색,20170404,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
골든벨,20170403,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 38번지 2층 
세화사,20170403,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 141-1번지 
대성도금,20170403,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 153번지 
깨끗한도금,20170403,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 14번지 
금미사,20170403,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 141-1번지 
수현도금,20170321,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 117-2번지 영동빌딩 213호
한양도금,20170314,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 116번지 
두리멕기,20170314,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 116번지 종로빌딩 202호 
나라도금,20170314,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 117-2번지 영동빌딩 308 
(주)티케쥬얼리,20170314,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연지동 125번지 
인디안염색사,20170307,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 446번지 
유진염색,20170222,조업정지 이행여부 확인 등,수시,서울특별시 종로구 종로5가 248-2번지 
태성도금,20170209,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 권농동 188-2번지 
더원,20170209,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 연지동 59번지 3층 
한성주얼리,20170207,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 익선동 38번지 
나르샤,20170207,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 익선동 108번지 
PREMUS,20170207,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 7-1번지 
지케이쥬얼리,20170202,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 묘동 148-1번지 
디컬러(DCOLOR),20170202,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 봉익동 122번지 
리코 주얼리,20170202,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 종로3가 18번지 
보람,20170119,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 봉익동 40-1번지 
서울대학교치과병원,20170118,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 연건동 275-1번지 
유진염색,20170117,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
북악주유소,20170102,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평창동 103-1번지 
유진염색,20161227,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
반도염색,20161227,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
서울적십자 병원,20161221,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 평동 164번지 
유진염색,20161214,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 248-2번지 
반도염색,20161214,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
태평양염색,20161202,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로5가 444-3번지 1층 
반도염색,20161117,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 97번지 
신아염색,20161103,폐수배출시설 및 방지시설 정상가동 여부,정기,서울특별시 종로구 종로6가 34번지 
서울대학교 간연구소,20161028,발생폐수 적정보관 및 위탁여부,정기,서울특별시 종로구 연건동 28번지 (28-2) 
한국부식,20161026,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 139번지 
진성기획,20161026,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 113-2번지 
신미기업,20161026,발생폐수 적정보관 및 위탁여부,수시,서울특별시 종로구 관수동 134-7번지 
